"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.04.2020","5.326,50","5.285,50","5.332,00","5.278,00","1,09M","0,91%"
"02.04.2020","5.278,63","5.258,00","5.294,00","5.231,50","1,84M","0,34%"
"01.04.2020","5.260,50","5.238,50","5.283,00","5.231,00","1,87M","0,89%"
"31.03.2020","5.214,00","5.194,50","5.214,00","5.169,50","1,85M","0,67%"
"30.03.2020","5.179,38","5.121,00","5.198,00","5.112,00","1,77M","2,18%"
"27.03.2020","5.068,71","5.050,00","5.128,00","5.045,00","2,13M","1,34%"
"26.03.2020","5.001,84","5.053,50","5.066,50","4.974,00","2,28M","0,13%"
"25.03.2020","4.995,58","5.083,50","5.110,50","4.973,50","2,27M","-1,82%"
"24.03.2020","5.088,20","5.051,00","5.108,50","5.048,00","2,19M","-0,88%"
"23.03.2020","5.133,60","5.095,00","5.150,00","5.006,00","2,04M","2,25%"
"20.03.2020","5.020,77","5.009,50","5.069,50","4.985,00","2,03M","-1,63%"
"19.03.2020","5.103,90","5.199,50","5.225,00","5.071,00","2,00M","-2,32%"
"18.03.2020","5.224,92","5.145,00","5.260,00","5.057,00","2,29M","4,67%"
"17.03.2020","4.991,70","5.058,00","5.089,00","4.960,50","1,88M","-0,49%"
"16.03.2020","5.016,06","4.980,00","5.081,00","4.885,00","1,73M","3,57%"
"13.03.2020","4.843,25","4.757,00","4.886,00","4.648,50","1,55M","0,64%"
"12.03.2020","4.812,49","5.027,00","5.034,00","4.755,50","1,40M","1,33%"
"11.03.2020","4.749,23","4.674,50","4.850,50","4.661,50","1,77M","2,05%"
"10.03.2020","4.653,95","4.688,00","4.711,00","4.642,50","1,58M","-1,95%"
"09.03.2020","4.746,66","4.765,50","4.799,00","4.713,00","1,75M","2,36%"
"06.03.2020","4.637,35","4.636,50","4.678,50","4.617,00","1,63M","-0,19%"
"05.03.2020","4.646,26","4.612,00","4.674,50","4.595,00","1,98M","1,48%"
"04.03.2020","4.578,38","4.514,00","4.598,00","4.511,50","1,70M","1,40%"
"03.03.2020","4.514,99","4.483,50","4.526,00","4.460,50","1,98M","0,60%"
"02.03.2020","4.488,20","4.508,50","4.514,50","4.477,00","1,55M","-0,23%"
"28.02.2020","4.498,70","4.504,50","4.506,50","4.475,00","122,07K","0,58%"
"27.02.2020","4.472,83","4.451,00","4.502,00","4.448,50","2,09M","0,76%"
"26.02.2020","4.439,06","4.418,00","4.456,00","4.405,00","1,15M","1,11%"
"21.02.2020","4.390,48","4.402,00","4.406,50","4.373,00","1,39M","-0,09%"
"20.02.2020","4.394,62","4.383,50","4.399,50","4.359,50","1,49M","0,57%"
"19.02.2020","4.369,76","4.365,50","4.378,00","4.360,00","1,09M","0,21%"
"18.02.2020","4.360,45","4.345,00","4.365,50","4.339,00","1,25M","0,66%"
"17.02.2020","4.332,02","4.309,50","4.333,50","4.304,50","785,69K","0,60%"
"14.02.2020","4.306,15","4.326,00","4.336,50","4.292,50","1,41M","-0,89%"
"13.02.2020","4.345,01","4.380,50","4.385,50","4.311,50","1,78M","-0,06%"
"12.02.2020","4.347,62","4.323,50","4.361,00","4.323,50","1,32M","0,15%"
"11.02.2020","4.341,30","4.317,00","4.344,00","4.301,50","1,61M","0,29%"
"10.02.2020","4.328,77","4.316,00","4.333,50","4.309,00","1,35M","0,19%"
"07.02.2020","4.320,47","4.300,50","4.328,50","4.291,50","1,65M","0,94%"
"06.02.2020","4.280,14","4.223,00","4.291,50","4.213,50","2,02M","0,51%"
"05.02.2020","4.258,35","4.252,50","4.266,00","4.232,50","1,39M","0,09%"
"04.02.2020","4.254,57","4.239,00","4.268,00","4.229,50","1,39M","0,00%"
"03.02.2020","4.254,46","4.276,50","4.279,00","4.236,50","1,28M","-0,35%"
"31.01.2020","4.269,50","4.262,00","4.273,00","4.246,50","96,80K","0,12%"
"30.01.2020","4.264,45","4.246,00","4.273,00","4.239,00","1,68M","1,03%"
"29.01.2020","4.220,77","4.198,50","4.234,50","4.183,00","1,46M","0,47%"
"28.01.2020","4.200,99","4.205,00","4.217,50","4.189,00","1,35M","-0,16%"
"27.01.2020","4.207,77","4.213,50","4.233,00","4.201,00","1,32M","0,48%"
"24.01.2020","4.187,53","4.170,00","4.194,00","4.168,00","1,24M","0,50%"
"23.01.2020","4.166,70","4.189,50","4.193,00","4.159,00","1,43M","-0,49%"
"22.01.2020","4.187,09","4.203,00","4.208,00","4.176,00","1,15M","-0,30%"
"21.01.2020","4.199,72","4.201,50","4.221,00","4.186,00","1,50M","0,14%"
"20.01.2020","4.193,67","4.168,50","4.195,00","4.167,00","656,90K","0,56%"
"17.01.2020","4.170,32","4.179,50","4.196,50","4.163,00","1,30M","-0,70%"
"16.01.2020","4.199,54","4.173,50","4.204,50","4.164,00","1,41M","0,48%"
"15.01.2020","4.179,44","4.150,50","4.190,00","4.143,00","1,59M","1,01%"
"14.01.2020","4.137,70","4.148,00","4.166,00","4.126,50","1,48M","-0,17%"
"13.01.2020","4.144,85","4.094,00","4.152,00","4.093,50","1,51M","1,47%"
"10.01.2020","4.084,83","4.089,00","4.110,00","4.067,00","1,34M","-0,14%"
"09.01.2020","4.090,66","4.062,50","4.100,00","4.062,50","1,32M","1,00%"
"08.01.2020","4.049,97","4.066,50","4.083,50","4.045,50","1,50M","-0,40%"
"07.01.2020","4.066,28","4.066,00","4.098,50","4.061,00","1,38M","0,14%"
"06.01.2020","4.060,51","4.062,00","4.080,50","4.053,00","1,17M","0,17%"
"03.01.2020","4.053,51","4.066,00","4.075,50","4.037,50","1,06M","0,50%"
"02.01.2020","4.033,27","4.016,50","4.046,00","4.008,50","1,06M","0,06%"
"30.12.2019","4.030,70","4.040,50","4.043,50","4.029,00","136,17K","-0,35%"
"27.12.2019","4.044,66","4.046,50","4.060,50","4.034,50","863,26K","-0,38%"
"26.12.2019","4.060,22","4.075,50","4.083,50","4.046,00","848,19K","-0,43%"
"23.12.2019","4.077,67","4.091,50","4.096,50","4.058,00","1,01M","-0,37%"
"20.12.2019","4.092,73","4.071,00","4.101,00","4.059,00","1,17M","0,80%"
"19.12.2019","4.060,14","4.066,00","4.071,50","4.052,00","1,05M","-0,09%"
"18.12.2019","4.063,90","4.072,00","4.076,50","4.046,00","1,25M","-0,05%"
"17.12.2019","4.066,07","4.062,00","4.078,50","4.051,50","1,26M","0,19%"
"16.12.2019","4.058,33","4.103,00","4.104,50","4.056,00","1,34M","-1,33%"
"13.12.2019","4.113,13","4.085,00","4.120,00","4.076,50","1,65M","0,29%"
"12.12.2019","4.101,16","4.117,00","4.134,00","4.084,50","1,70M","-0,76%"
"11.12.2019","4.132,71","4.144,00","4.146,50","4.112,00","1,60M","-0,34%"
"10.12.2019","4.146,95","4.141,50","4.155,00","4.136,50","1,14M","0,17%"
"09.12.2019","4.139,85","4.148,50","4.164,50","4.128,50","1,31M","-0,33%"
"06.12.2019","4.153,67","4.185,00","4.199,00","4.139,00","1,47M","-0,84%"
"05.12.2019","4.188,79","4.206,50","4.228,00","4.181,50","1,61M","-0,29%"
"04.12.2019","4.201,14","4.198,50","4.215,50","4.188,00","1,34M","-0,22%"
"03.12.2019","4.210,41","4.217,00","4.220,00","4.191,50","1,61M","-0,27%"
"02.12.2019","4.221,80","4.258,00","4.260,00","4.214,50","1,26M","-0,05%"
"29.11.2019","4.224,00","4.200,00","4.235,00","4.182,50","147,65K","0,16%"
"28.11.2019","4.217,07","4.253,00","4.261,50","4.186,50","1,12M","-0,87%"
"27.11.2019","4.254,06","4.228,50","4.271,50","4.228,00","1,54M","0,13%"
"26.11.2019","4.248,64","4.248,00","4.278,00","4.232,50","1,91M","0,86%"
"25.11.2019","4.212,56","4.196,00","4.233,50","4.190,50","1,39M","0,52%"
"22.11.2019","4.190,95","4.197,50","4.203,50","4.175,50","1,34M","-0,47%"
"21.11.2019","4.210,76","4.206,00","4.226,50","4.187,00","1,77M","0,24%"
"19.11.2019","4.200,85","4.211,50","4.223,00","4.190,50","1,53M","0,02%"
"18.11.2019","4.199,88","4.180,00","4.225,00","4.173,50","1,25M","0,17%"
"14.11.2019","4.192,95","4.178,00","4.204,00","4.168,00","1,39M","0,10%"
"13.11.2019","4.188,62","4.180,00","4.195,00","4.167,50","1,53M","0,48%"
"12.11.2019","4.168,81","4.150,50","4.192,50","4.148,00","1,54M","0,60%"
"11.11.2019","4.143,84","4.165,00","4.176,50","4.141,00","1,29M","-0,20%"
