"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.04.2020","68.490,00","72.475,00","73.190,00","67.750,00","9,10M","-5,03%"
"02.04.2020","72.117,00","72.810,00","74.040,00","71.010,00","11,04M","1,29%"
"01.04.2020","71.200,00","69.925,00","71.560,00","68.890,00","10,63M","-2,18%"
"31.03.2020","72.788,00","75.100,00","75.485,00","71.880,00","10,31M","-2,44%"
"30.03.2020","74.612,00","73.400,00","75.160,00","72.820,00","10,20M","2,14%"
"27.03.2020","73.050,00","74.760,00","75.810,00","72.500,00","10,12M","-6,01%"
"26.03.2020","77.721,00","73.100,00","78.850,00","72.215,00","10,16M","3,85%"
"25.03.2020","74.840,00","68.510,00","76.800,00","67.740,00","9,68M","7,07%"
"24.03.2020","69.900,00","68.380,00","71.700,00","66.670,00","5,78M","10,78%"
"23.03.2020","63.099,00","64.240,00","69.965,00","61.900,00","8,15M","-5,83%"
"20.03.2020","67.003,00","69.805,00","72.385,00","65.780,00","8,13M","-0,69%"
"19.03.2020","67.466,00","66.150,00","70.060,00","61.450,00","4,71M","1,30%"
"18.03.2020","66.597,00","67.255,00","70.300,00","63.520,00","2,51M","-10,88%"
"17.03.2020","74.726,00","70.625,00","77.410,00","70.600,00","5,46M","6,18%"
"16.03.2020","70.376,00","74.415,00","76.425,00","70.280,00","3,36M","-14,88%"
"13.03.2020","82.679,00","79.300,00","82.940,00","72.510,00","2,89M","14,63%"
"12.03.2020","72.125,00","76.365,00","76.365,00","72.125,00","338,28K","-15,00%"
"11.03.2020","84.848,00","89.600,00","90.680,00","80.540,00","11,25M","-7,82%"
"10.03.2020","92.042,00","90.665,00","92.780,00","87.355,00","12,52M","6,93%"
"09.03.2020","86.080,00","88.540,00","90.890,00","86.080,00","4,90M","-12,50%"
"06.03.2020","98.376,00","99.090,00","99.805,00","97.165,00","15,40M","-3,93%"
"05.03.2020","102.397,00","105.800,00","106.545,00","100.760,00","14,79M","-4,90%"
"04.03.2020","107.677,00","107.500,00","108.495,00","105.350,00","14,43M","1,96%"
"03.03.2020","105.612,00","107.655,00","109.960,00","104.775,00","17,84M","-1,43%"
"02.03.2020","107.145,00","103.860,00","107.760,00","103.090,00","16,23M","2,78%"
"28.02.2020","104.252,00","101.350,00","104.920,00","100.335,00","19,14M","0,78%"
"27.02.2020","103.449,00","104.750,00","107.185,00","103.000,00","17,39M","-2,65%"
"26.02.2020","106.261,00","108.710,00","109.135,00","105.470,00","9,28M","-6,83%"
"21.02.2020","114.045,00","114.400,00","114.510,00","113.180,00","9,68M","-0,91%"
"20.02.2020","115.090,00","116.720,00","117.180,00","114.900,00","11,38M","-1,74%"
"19.02.2020","117.130,00","115.950,00","117.220,00","115.280,00","9,37M","1,39%"
"18.02.2020","115.527,00","114.850,00","115.760,00","114.140,00","9,14M","-0,36%"
"17.02.2020","115.939,00","115.500,00","116.395,00","115.320,00","7,38M","0,80%"
"14.02.2020","115.021,00","116.750,00","116.930,00","114.765,00","9,57M","-1,10%"
"13.02.2020","116.303,00","116.105,00","116.705,00","115.440,00","10,56M","-0,55%"
"12.02.2020","116.951,00","116.190,00","117.250,00","115.555,00","801,87K","1,37%"
"11.02.2020","115.367,00","113.735,00","115.620,00","113.565,00","10,92M","2,19%"
"10.02.2020","112.895,00","113.655,00","114.195,00","112.135,00","9,83M","-0,75%"
"07.02.2020","113.750,00","114.875,00","115.245,00","113.735,00","10,20M","-1,25%"
"06.02.2020","115.189,00","117.000,00","117.535,00","114.775,00","10,93M","-0,93%"
"05.02.2020","116.274,00","116.795,00","117.855,00","116.170,00","10,49M","0,46%"
"04.02.2020","115.737,00","116.275,00","116.785,00","115.570,00","10,79M","0,73%"
"03.02.2020","114.903,00","114.450,00","115.500,00","113.595,00","10,94M","0,85%"
"31.01.2020","113.931,00","114.600,00","114.685,00","113.220,00","12,63M","-1,48%"
"30.01.2020","115.648,00","114.260,00","115.695,00","112.910,00","11,96M","0,17%"
